,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
317,saint-philippe,re,0.0,69.0,-21.36,55.77,72.88,77.0,5.82,1554174129
318,kedrovyy,ru,0.0,59.0,56.17,91.82,37.4,37.4,4.47,1554172200
319,shakawe,bw,80.0,48.0,-18.36,21.84,75.49,75.49,9.44,1554174693
320,jamestown,sh,76.0,100.0,-15.94,-5.72,76.57,76.57,18.28,1554174814
321,miramar,mx,5.0,14.0,20.64,-103.45,72.0,77.0,5.82,1554174015
322,hoquiam,us,75.0,93.0,46.98,-123.89,55.31,59.0,3.36,1554174666
323,starobaltachevo,ru,68.0,97.0,56.0,55.92,32.74,32.74,3.06,1554174694
324,witu,ke,1.0,83.0,-2.39,40.44,78.8,78.8,1.72,1554170160
325,luderitz,na,0.0,80.0,-26.65,15.16,57.76,57.76,15.48,1554174694
326,bluff,nz,76.0,69.0,-46.6,168.33,57.0,57.0,5.01,1554174605
328,sterling,us,75.0,40.0,39.0,-77.4,35.98,42.01,4.7,1554174608
330,saint-philippe,re,0.0,69.0,-21.36,55.77,72.88,77.0,5.82,1554174129
331,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
332,tolmachevo,ru,0.0,80.0,55.36,38.22,29.57,32.0,6.71,1554174337
333,atuona,pf,8.0,100.0,-9.8,-139.03,82.51,82.51,9.89,1554174831
334,poya,nc,44.0,96.0,-21.35,165.16,79.9,79.9,13.47,1554174695
335,jatiroto,id,20.0,70.0,-6.89,111.01,84.2,84.2,5.82,1554172200
336,katsuura,jp,75.0,40.0,33.93,134.5,50.16,51.8,17.22,1554174256
337,khromtau,kz,64.0,76.0,50.26,58.44,31.39,31.39,3.4,1554174695
339,ilulissat,gl,24.0,51.0,69.22,-51.1,12.2,12.2,13.87,1554169800
340,butaritari,ki,68.0,100.0,3.07,172.79,81.97,81.97,9.22,1554174825
341,new norfolk,au,75.0,42.0,-42.78,147.06,65.08,66.99,3.36,1554174138
342,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
343,mikhaylovskoye,ru,92.0,95.0,43.1,44.64,37.24,37.24,2.73,1554174695
344,cidreira,br,8.0,84.0,-30.17,-50.22,72.43,72.43,11.45,1554174827
348,ponta do sol,cv,40.0,60.0,17.2,-25.09,71.6,71.6,13.87,1554170400
349,sitka,us,0.0,57.0,37.17,-99.65,46.24,46.24,6.98,1554174587
350,hasaki,jp,20.0,25.0,35.73,140.83,52.0,54.0,16.11,1554174278
351,provideniya,ru,90.0,74.0,64.42,-173.23,33.8,33.8,6.71,1554172200
352,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
353,romans-sur-isere,fr,0.0,74.0,45.05,5.06,45.7,50.0,8.05,1554174532
354,bandundu,cd,36.0,90.0,-3.32,17.38,76.75,76.75,2.84,1554174696
355,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
356,dingle,ie,88.0,100.0,52.14,-10.27,46.51,46.51,20.51,1554174828
357,cairns,au,76.0,95.0,-16.92,145.77,75.74,78.01,19.06,1554174668
358,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
359,makushino,ru,0.0,81.0,55.21,67.25,35.71,35.71,10.33,1554174696
360,dryden,ca,90.0,71.0,49.79,-92.84,32.0,32.0,14.99,1554173700
361,tasiilaq,gl,76.0,68.0,65.61,-37.64,24.8,24.8,16.11,1554169800
363,dunedin,nz,44.0,69.0,-45.87,170.5,54.0,54.0,15.99,1554174217
364,salalah,om,20.0,78.0,17.01,54.1,77.0,77.0,3.36,1554169800
365,plettenberg bay,za,80.0,100.0,-34.05,23.37,60.28,60.28,2.39,1554174697
366,jamestown,sh,76.0,100.0,-15.94,-5.72,76.57,76.57,18.28,1554174814
367,jishou,cn,92.0,100.0,28.26,109.7,56.23,56.23,3.74,1554174697
368,westport,ie,92.0,86.0,53.8,-9.52,37.89,39.99,3.0,1554174605
369,nurota,uz,20.0,54.0,40.56,65.69,59.0,59.0,27.51,1554172200
370,najran,sa,0.0,36.0,17.54,44.22,77.0,77.0,9.17,1554170400
371,yinchuan,cn,80.0,32.0,38.48,106.21,57.31,57.31,5.19,1554174698
372,cabo san lucas,mx,5.0,73.0,22.89,-109.91,72.45,73.99,3.36,1554174611
373,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
374,ribeira grande,pt,48.0,100.0,38.52,-28.7,59.47,59.47,22.19,1554174678
375,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
376,pacific grove,us,20.0,67.0,36.62,-121.92,58.41,62.01,7.76,1554174617
377,giaveno,it,40.0,37.0,45.04,7.35,48.06,54.0,8.05,1554174669
378,saskylakh,ru,20.0,90.0,71.97,114.09,25.81,25.81,10.67,1554174676
379,husavik,is,90.0,86.0,66.04,-17.34,30.2,30.2,21.92,1554170400
380,puerto ayora,ec,32.0,93.0,-0.74,-90.35,79.0,79.0,5.41,1554174042
381,jatai,br,0.0,77.0,-17.88,-51.71,70.27,70.27,5.64,1554174692
382,nanortalik,gl,92.0,100.0,60.14,-45.24,26.8,26.8,29.57,1554174947
383,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
384,ushuaia,ar,75.0,81.0,-54.81,-68.31,53.6,53.6,4.7,1554170400
387,ibra,om,0.0,46.0,22.69,58.55,66.04,66.04,0.94,1554174699
388,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
389,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
390,hilo,us,90.0,65.0,19.71,-155.08,73.38,78.8,4.7,1554174808
392,butaritari,ki,68.0,100.0,3.07,172.79,81.97,81.97,9.22,1554174825
393,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
394,ribeira grande,pt,48.0,100.0,38.52,-28.7,59.47,59.47,22.19,1554174678
395,cerinza,co,92.0,96.0,5.96,-72.95,54.79,54.79,2.17,1554174699
396,albany,au,75.0,68.0,-35.02,117.88,64.4,64.4,9.17,1554170400
397,punta arenas,cl,90.0,93.0,-53.16,-70.91,50.0,50.0,9.17,1554174745
398,butaritari,ki,68.0,100.0,3.07,172.79,81.97,81.97,9.22,1554174825
399,constitucion,mx,5.0,13.0,23.99,-104.67,73.4,73.4,13.87,1554169440
400,cape town,za,0.0,67.0,-33.93,18.42,57.7,60.01,14.99,1554174491
401,rikitea,pf,0.0,100.0,-23.12,-134.97,76.12,76.12,16.71,1554174807
402,bathsheba,bb,20.0,73.0,13.22,-59.52,77.0,77.0,14.99,1554170400
403,jamestown,sh,76.0,100.0,-15.94,-5.72,76.57,76.57,18.28,1554174814
404,vaini,to,20.0,66.0,-21.2,-175.2,84.2,84.2,10.29,1554170400
405,puchezh,ru,0.0,80.0,56.98,43.17,22.03,22.03,7.09,1554174700
407,upernavik,gl,48.0,100.0,72.79,-56.15,13.93,13.93,6.42,1554174816
409,montrose,us,1.0,36.0,38.48,-107.88,46.33,55.4,3.36,1554174528
410,celestun,mx,0.0,95.0,20.87,-90.4,78.01,78.01,14.25,1554174701
